iter	Passed	Remaining
0	46	27884
1	54	16199
2	61	12218
3	69	10408
4	77	9249
5	88	8749
6	95	8104
7	102	7615
8	110	7234
9	117	6927
10	127	6841
11	134	6612
12	142	6417
13	149	6255
14	156	6114
15	167	6106
16	174	5983
17	181	5876
18	189	5802
19	196	5711
20	207	5717
21	214	5636
22	221	5563
23	228	5495
24	236	5439
25	246	5449
26	254	5390
27	261	5338
28	268	5288
29	275	5239
30	286	5254
31	293	5212
32	300	5169
33	308	5129
34	315	5088
35	325	5102
36	332	5065
37	340	5032
38	347	4999
39	354	4968
40	365	4980
41	372	4950
42	379	4919
43	386	4889
44	394	4861
45	404	4874
46	411	4846
47	419	4818
48	426	4793
49	433	4767
50	443	4777
51	450	4751
52	458	4728
53	465	4706
54	472	4684
55	482	4691
56	490	4669
57	497	4647
58	504	4626
59	511	4606
60	522	4614
61	529	4594
62	536	4574
63	543	4554
64	551	4535
65	561	4542
66	568	4523
67	576	4506
68	583	4489
69	591	4475
70	601	4481
71	608	4463
72	615	4445
73	623	4428
74	630	4411
75	640	4416
76	647	4400
77	654	4383
78	662	4366
79	669	4350
80	679	4354
81	686	4338
82	694	4323
83	701	4307
84	708	4291
85	718	4295
86	725	4280
87	733	4264
88	740	4249
89	747	4235
90	757	4237
91	764	4222
92	771	4206
93	778	4191
94	785	4177
95	796	4179
96	803	4165
97	810	4152
98	817	4138
99	825	4125
100	835	4126
101	842	4112
102	850	4102
103	858	4094
104	866	4083
105	876	4084
106	883	4070
107	890	4057
108	898	4046
109	905	4034
110	915	4034
111	923	4021
112	930	4009
113	937	3996
114	944	3983
115	954	3983
116	961	3970
117	969	3959
118	976	3946
119	983	3933
120	993	3933
121	1000	3921
122	1007	3908
123	1015	3896
124	1022	3884
125	1032	3883
126	1039	3871
127	1046	3858
128	1053	3846
129	1060	3834
130	1070	3833
131	1077	3821
132	1085	3809
133	1092	3797
134	1099	3786
135	1109	3784
136	1116	3773
137	1123	3761
138	1130	3749
139	1137	3738
140	1148	3737
141	1155	3726
142	1162	3714
143	1169	3702
144	1176	3692
145	1187	3692
146	1194	3681
147	1202	3671
148	1209	3660
149	1216	3649
150	1226	3648
151	1233	3636
152	1241	3625
153	1248	3615
154	1255	3604
155	1265	3601
156	1272	3590
157	1279	3579
158	1286	3568
159	1294	3558
160	1304	3555
161	1311	3545
162	1318	3534
163	1325	3524
164	1332	3513
165	1342	3511
166	1350	3500
167	1357	3490
168	1364	3479
169	1371	3470
170	1382	3467
171	1389	3458
172	1397	3448
173	1404	3439
174	1412	3429
175	1422	3426
176	1429	3416
177	1436	3406
178	1444	3397
179	1451	3386
180	1462	3384
181	1469	3374
182	1476	3364
183	1483	3354
184	1490	3344
185	1501	3341
